"State","County","Median Housing Value, 2023 ($)","Median Property Taxes Paid, 2023 ($)(5-Year Estimate)","Effective Property Tax Rate (2023)"
"Kentucky","Nelson County","224100","1,782","0.7952%"
"Kentucky","Nicholas County","119600","679","0.5677%"
"Kentucky","Ohio County","113400","695","0.6129%"
"Kentucky","Oldham County","375000","3,454","0.9211%"
"Kentucky","Owen County","165000","1,231","0.7461%"
"Kentucky","Owsley County","79900","562","0.7034%"
"Kentucky","Pendleton County","160800","1,246","0.7749%"
"Kentucky","Perry County","90700","661","0.7288%"
"Kentucky","Pike County","104200","758","0.7274%"
"Kentucky","Powell County","142400","829","0.5822%"
"Kentucky","Pulaski County","156300","1,010","0.6462%"
"Kentucky","Robertson County","123400","828","0.6710%"
"Kentucky","Rockcastle County","119300","574","0.4811%"
"Kentucky","Rowan County","155900","862","0.5529%"
"Kentucky","Russell County","148200","872","0.5884%"
"Kentucky","Scott County","264200","1,800","0.6813%"
"Kentucky","Shelby County","277500","2,248","0.8101%"
"Kentucky","Simpson County","195700","1,246","0.6367%"
"Kentucky","Spencer County","297600","2,118","0.7117%"
"Kentucky","Taylor County","163700","1,174","0.7172%"
"Kentucky","Todd County","157400","870","0.5527%"
"Kentucky","Trigg County","192000","1,065","0.5547%"
"Kentucky","Trimble County","172700","1,175","0.6804%"
"Kentucky","Union County","109000","858","0.7872%"
"Kentucky","Warren County","242600","1,558","0.6422%"
"Kentucky","Washington County","168300","1,205","0.7160%"
"Kentucky","Wayne County","121700","703","0.5776%"
"Kentucky","Webster County","97600","961","0.9846%"
"Kentucky","Whitley County","120600","792","0.6567%"
"Kentucky","Wolfe County","66400","391","0.5889%"
"Kentucky","Woodford County","270400","2,003","0.7408%"
"Louisiana","Acadia Parish","146900","446","0.3036%"
"Louisiana","Allen Parish","110800","199","0.1796%"
"Louisiana","Ascension Parish","265300","1,419","0.5349%"
"Louisiana","Assumption Parish","141200","609","0.4313%"
"Louisiana","Avoyelles Parish","120200","244","0.2030%"
"Louisiana","Beauregard Parish","164500","544","0.3307%"
"Louisiana","Bienville Parish","93600","299","0.3194%"
"Louisiana","Bossier Parish","215100","1,380","0.6416%"
"Louisiana","Caddo Parish","175900","1,081","0.6146%"
"Louisiana","Calcasieu Parish","208500","926","0.4441%"
"Louisiana","Caldwell Parish","106000","341","0.3217%"
"Louisiana","Cameron Parish","183300","814","0.4441%"
"Louisiana","Catahoula Parish","88000","257","0.2920%"
"Louisiana","Claiborne Parish","82400","304","0.3689%"
"Louisiana","Concordia Parish","102400","393","0.3838%"
"Louisiana","De Soto Parish","150700","467","0.3099%"
"Louisiana","East Baton Rouge Parish","241800","1,547","0.6398%"
"Louisiana","East Carroll Parish","87400","251","0.2872%"
"Louisiana","East Feliciana Parish","213700","328","0.1535%"
"Louisiana","Evangeline Parish","118500","323","0.2726%"
"Louisiana","Franklin Parish","117200","378","0.3225%"
"Louisiana","Grant Parish","135900","864","0.6358%"
"Louisiana","Iberia Parish","156000","547","0.3506%"
"Louisiana","Iberville Parish","177100","581","0.3281%"
"Louisiana","Jackson Parish","107400","354","0.3296%"
"Louisiana","Jefferson Parish","243500","1,265","0.5195%"
"Louisiana","Jefferson Davis Parish","145000","409","0.2821%"
"Louisiana","Lafayette Parish","234200","1,329","0.5675%"
"Louisiana","Lafourche Parish","190800","951","0.4984%"
"Louisiana","LaSalle Parish","137200","578","0.4213%"
"Louisiana","Lincoln Parish","195500","975","0.4987%"
"Louisiana","Livingston Parish","218900","1,079","0.4929%"
"Louisiana","Madison Parish","90600","208","0.2296%"
"Louisiana","Morehouse Parish","108700","467","0.4296%"
"Louisiana","Natchitoches Parish","163000","766","0.4699%"
"Louisiana","Orleans Parish","296400","2,428","0.8192%"
"Louisiana","Ouachita Parish","183000","1,016","0.5552%"
"Louisiana","Plaquemines Parish","275800","1,275","0.4623%"
"Louisiana","Pointe Coupee Parish","174500","491","0.2814%"
"Louisiana","Rapides Parish","179100","1,024","0.5717%"
"Louisiana","Red River Parish","103200","555","0.5378%"
"Louisiana","Richland Parish","124500","438","0.3518%"
"Louisiana","Sabine Parish","129400","495","0.3825%"
"Louisiana","St. Bernard Parish","192100","976","0.5081%"
"Louisiana","St. Charles Parish","256800","1,475","0.5744%"
"Louisiana","St. Helena Parish","106400","448","0.4211%"
"Louisiana","St. James Parish","197800","1,043","0.5273%"
"Louisiana","St. John the Baptist Parish","184000","829","0.4505%"
"Louisiana","St. Landry Parish","142900","425","0.2974%"
"Louisiana","St. Martin Parish","151000","610","0.4040%"
"Louisiana","St. Mary Parish","128000","515","0.4023%"
"Louisiana","St. Tammany Parish","272200","2,005","0.7366%"
"Louisiana","Tangipahoa Parish","204600","887","0.4335%"
"Louisiana","Tensas Parish","80300","232","0.2889%"
"Louisiana","Terrebonne Parish","189100","852","0.4506%"
"Louisiana","Union Parish","115400","470","0.4073%"
"Louisiana","Vermilion Parish","159700","538","0.3369%"
"Louisiana","Vernon Parish","143500","776","0.5408%"
"Louisiana","Washington Parish","139400","488","0.3501%"
"Louisiana","Webster Parish","105600","402","0.3807%"
"Louisiana","West Baton Rouge Parish","225900","1,336","0.5914%"
"Louisiana","West Carroll Parish","97600","199","0.2039%"
"Louisiana","West Feliciana Parish","263200","1,359","0.5163%"
"Louisiana","Winn Parish","102600","323","0.3148%"
"Maine","Androscoggin County","232000","2,913","1.2556%"
"Maine","Aroostook County","131700","1,611","1.2232%"
"Maine","Cumberland County","411400","4,577","1.1125%"
"Maine","Franklin County","176700","1,897","1.0736%"
"Maine","Hancock County","278400","2,445","0.8782%"
"Maine","Kennebec County","219900","2,510","1.1414%"
"Maine","Knox County","290800","3,643","1.2528%"
"Maine","Lincoln County","306200","2,850","0.9308%"
"Maine","Oxford County","192300","2,103","1.0936%"
"Maine","Penobscot County","193800","2,435","1.2564%"
"Maine","Piscataquis County","153300","1,487","0.9700%"
"Maine","Sagadahoc County","300200","3,365","1.1209%"
"Maine","Somerset County","155200","1,798","1.1585%"
"Maine","Waldo County","239100","2,593","1.0845%"
"Maine","Washington County","147100","1,654","1.1244%"
"Maine","York County","357200","3,691","1.0333%"
"Maryland","Allegany County","149200","1,609","1.0784%"
"Maryland","Anne Arundel County","450300","3,836","0.8519%"
"Maryland","Baltimore County","330000","3,645","1.1045%"
"Maryland","Calvert County","440200","3,858","0.8764%"
"Maryland","Caroline County","272400","2,513","0.9225%"
"Maryland","Carroll County","406400","3,837","0.9441%"
"Maryland","Cecil County","311800","3,059","0.9811%"
"Maryland","Charles County","402300","4,179","1.0388%"
"Maryland","Dorchester County","252300","2,399","0.9509%"
"Maryland","Frederick County","437700","4,463","1.0196%"
"Maryland","Garrett County","217000","1,792","0.8258%"
"Maryland","Harford County","367300","3,424","0.9322%"
"Maryland","Howard County","576700","6,814","1.1816%"
"Maryland","Kent County","307100","2,896","0.9430%"
"Maryland","Montgomery County","615200","5,341","0.8682%"
"Maryland","Prince George's County","404300","4,662","1.1531%"
"Maryland","Queen Anne's County","441800","3,503","0.7929%"
"Maryland","St. Mary's County","390900","3,392","0.8677%"
"Maryland","Somerset County","164300","1,603","0.9757%"
"Maryland","Talbot County","398300","2,623","0.6585%"
"Maryland","Washington County","275900","2,444","0.8858%"
"Maryland","Wicomico County","238900","2,120","0.8874%"
"Maryland","Worcester County","348100","2,629","0.7552%"
"Maryland","Baltimore city","219300","3,236","1.4756%"
"Massachusetts","Barnstable County","575900","4,090","0.7102%"
"Massachusetts","Berkshire County","283800","3,891","1.3710%"
"Massachusetts","Bristol County","421800","4,685","1.1107%"
"Massachusetts","Dukes County","1104100","5,503","0.4984%"
"Massachusetts","Essex County","584000","6,267","1.0731%"
"Massachusetts","Franklin County","303400","4,595","1.5145%"
"Massachusetts","Hampden County","276300","4,332","1.5679%"
"Massachusetts","Hampshire County","363400","5,326","1.4656%"
"Massachusetts","Middlesex County","687200","7,240","1.0536%"
"Massachusetts","Nantucket County","1387000","2,985","0.2152%"
"Massachusetts","Norfolk County","649400","7,081","1.0904%"
"Massachusetts","Plymouth County","513000","6,345","1.2368%"
"Massachusetts","Suffolk County","680700","4,533","0.6659%"
"Massachusetts","Worcester County","390700","5,207","1.3327%"
"Michigan","Alcona County","157500","1,322","0.8394%"
"Michigan","Alger County","165700","1,652","0.9970%"
"Michigan","Allegan County","247000","2,799","1.1332%"
"Michigan","Alpena County","137800","1,556","1.1292%"
"Michigan","Antrim County","222500","2,033","0.9137%"
"Michigan","Arenac County","129000","1,676","1.2992%"
"Michigan","Baraga County","124400","1,666","1.3392%"
"Michigan","Barry County","243700","2,706","1.1104%"
"Michigan","Bay County","135100","2,205","1.6321%"
"Michigan","Benzie County","254400","2,119","0.8329%"
"Michigan","Berrien County","211400","2,357","1.1149%"
"Michigan","Branch County","147500","1,813","1.2292%"
"Michigan","Calhoun County","151500","2,269","1.4977%"
"Michigan","Cass County","205200","1,972","0.9610%"
"Michigan","Charlevoix County","242800","2,408","0.9918%"
"Michigan","Cheboygan County","175200","1,625","0.9275%"
"Michigan","Chippewa County","153100","1,972","1.2880%"
"Michigan","Clare County","117400","1,387","1.1814%"
"Michigan","Clinton County","243700","3,048","1.2507%"
"Michigan","Crawford County","149900","1,639","1.0934%"
"Michigan","Delta County","146800","1,658","1.1294%"
"Michigan","Dickinson County","130300","1,917","1.4712%"
"Michigan","Eaton County","206700","2,924","1.4146%"
"Michigan","Emmet County","275300","2,492","0.9052%"
"Michigan","Genesee County","172900","2,417","1.3979%"
"Michigan","Gladwin County","153200","1,813","1.1834%"
"Michigan","Gogebic County","99700","1,488","1.4925%"
"Michigan","Grand Traverse County","296200","2,900","0.9791%"
"Michigan","Gratiot County","136800","1,739","1.2712%"
"Michigan","Hillsdale County","170500","1,644","0.9642%"
"Michigan","Houghton County","140300","1,780","1.2687%"
"Michigan","Huron County","141300","1,754","1.2413%"
"Michigan","Ingham County","187500","3,488","1.8603%"
"Michigan","Ionia County","189400","2,211","1.1674%"
"Michigan","Iosco County","122900","1,304","1.0610%"
"Michigan","Iron County","101500","1,459","1.4374%"
"Michigan","Isabella County","165100","2,180","1.3204%"
"Michigan","Jackson County","182900","2,353","1.2865%"
"Michigan","Kalamazoo County","227500","3,378","1.4848%"
"Michigan","Kalkaska County","174300","1,545","0.8864%"
"Michigan","Kent County","265700","3,028","1.1396%"
"Michigan","Keweenaw County","181400","1,704","0.9394%"
"Michigan","Lake County","122900","1,413","1.1497%"
"Michigan","Lapeer County","229100","2,185","0.9537%"
"Michigan","Leelanau County","406900","2,856","0.7019%"
"Michigan","Lenawee County","181100","2,412","1.3319%"
"Michigan","Livingston County","331100","3,269","0.9873%"
"Michigan","Luce County","110400","1,121","1.0154%"
"Michigan","Mackinac County","165600","1,719","1.0380%"
"Michigan","Macomb County","231400","3,293","1.4231%"
"Michigan","Manistee County","166600","1,814","1.0888%"
"Michigan","Marquette County","202000","2,019","0.9995%"
"Michigan","Mason County","199300","2,203","1.1054%"
"Michigan","Mecosta County","169900","1,692","0.9959%"
"Michigan","Menominee County","142700","1,470","1.0301%"
"Michigan","Midland County","184300","2,771","1.5035%"
"Michigan","Missaukee County","163700","1,600","0.9774%"
"Michigan","Monroe County","215700","2,492","1.1553%"
"Michigan","Montcalm County","172100","1,851","1.0755%"
"Michigan","Montmorency County","142000","1,309","0.9218%"
"Michigan","Muskegon County","180900","2,280","1.2604%"
"Michigan","Newaygo County","178300","2,052","1.1509%"
"Michigan","Oakland County","320400","4,241","1.3237%"
"Michigan","Oceana County","167600","1,916","1.1432%"
"Michigan","Ogemaw County","138600","1,417","1.0224%"
"Michigan","Ontonagon County","101000","1,244","1.2317%"
"Michigan","Osceola County","139600","1,478","1.0587%"
"Michigan","Oscoda County","126000","1,182","0.9381%"
"Michigan","Otsego County","196500","1,751","0.8911%"
"Michigan","Ottawa County","291200","3,078","1.0570%"
"Michigan","Presque Isle County","135200","1,382","1.0222%"
"Michigan","Roscommon County","148000","1,552","1.0486%"
"Michigan","Saginaw County","139400","2,190","1.5710%"
"Michigan","St. Clair County","213900","2,493","1.1655%"
"Michigan","St. Joseph County","167600","1,867","1.1140%"
"Michigan","Sanilac County","162200","1,488","0.9174%"
"Michigan","Schoolcraft County","123500","1,348","1.0915%"
"Michigan","Shiawassee County","164600","2,214","1.3451%"
"Michigan","Tuscola County","136900","1,753","1.2805%"
"Michigan","Van Buren County","189900","2,444","1.2870%"
"Michigan","Washtenaw County","353000","5,505","1.5595%"
"Michigan","Wayne County","170200","2,794","1.6416%"
"Michigan","Wexford County","160300","1,868","1.1653%"
"Minnesota","Aitkin County","235100","1,346","0.5725%"
"Minnesota","Anoka County","325800","3,099","0.9512%"
"Minnesota","Becker County","266900","1,951","0.7310%"
"Minnesota","Beltrami County","222300","2,214","0.9960%"
"Minnesota","Benton County","247100","2,532","1.0247%"
"Minnesota","Big Stone County","135700","1,169","0.8615%"
"Minnesota","Blue Earth County","252800","2,487","0.9838%"
"Minnesota","Brown County","181700","1,890","1.0402%"
"Minnesota","Carlton County","232000","2,712","1.1690%"
"Minnesota","Carver County","426900","4,380","1.0260%"
"Minnesota","Cass County","262300","1,512","0.5764%"
"Minnesota","Chippewa County","149000","1,551","1.0409%"
"Minnesota","Chisago County","326600","3,668","1.1231%"
"Minnesota","Clay County","256000","2,854","1.1148%"
"Minnesota","Clearwater County","177100","1,297","0.7324%"
"Minnesota","Cook County","294000","2,322","0.7898%"
"Minnesota","Cottonwood County","154000","1,737","1.1279%"
"Minnesota","Crow Wing County","274400","2,161","0.7875%"
"Minnesota","Dakota County","362100","3,610","0.9970%"
"Minnesota","Dodge County","267500","2,902","1.0849%"
"Minnesota","Douglas County","291700","2,516","0.8625%"
"Minnesota","Faribault County","120200","1,263","1.0507%"
"Minnesota","Fillmore County","204000","1,932","0.9471%"
"Minnesota","Freeborn County","164900","1,750","1.0612%"
"Minnesota","Goodhue County","269400","2,866","1.0638%"
"Minnesota","Grant County","178600","1,677","0.9390%"
"Minnesota","Hennepin County","376500","4,337","1.1519%"
"Minnesota","Houston County","226300","2,633","1.1635%"
"Minnesota","Hubbard County","255900","2,087","0.8156%"
"Minnesota","Isanti County","283200","2,951","1.0420%"
"Minnesota","Itasca County","212000","1,851","0.8731%"
"Minnesota","Jackson County","145400","1,329","0.9140%"
"Minnesota","Kanabec County","221100","2,463","1.1140%"
"Minnesota","Kandiyohi County","230500","2,291","0.9939%"
"Minnesota","Kittson County","134400","1,231","0.9159%"
"Minnesota","Koochiching County","143700","1,148","0.7989%"
"Minnesota","Lac qui Parle County","143400","1,360","0.9484%"
"Minnesota","Lake County","222900","1,674","0.7510%"
"Minnesota","Lake of the Woods County","215000","1,520","0.7070%"
"Minnesota","Le Sueur County","287700","3,119","1.0841%"
"Minnesota","Lincoln County","152200","1,478","0.9711%"
"Minnesota","Lyon County","193100","2,021","1.0466%"
"Minnesota","McLeod County","233400","2,708","1.1602%"
"Minnesota","Mahnomen County","146500","1,427","0.9741%"
"Minnesota","Marshall County","153300","1,271","0.8291%"
"Minnesota","Martin County","158800","1,547","0.9742%"
"Minnesota","Meeker County","228900","2,159","0.9432%"
"Minnesota","Mille Lacs County","237500","2,475","1.0421%"
"Minnesota","Morrison County","237000","2,154","0.9089%"
"Minnesota","Mower County","172000","1,819","1.0576%"
"Minnesota","Murray County","179400","1,373","0.7653%"
"Minnesota","Nicollet County","258500","2,888","1.1172%"
"Minnesota","Nobles County","179200","1,674","0.9342%"
"Minnesota","Norman County","135700","1,341","0.9882%"
"Minnesota","Olmsted County","304500","3,314","1.0883%"
"Minnesota","Otter Tail County","252500","1,966","0.7786%"
"Minnesota","Pennington County","188900","2,300","1.2176%"
"Minnesota","Pine County","225600","1,973","0.8746%"
"Minnesota","Pipestone County","126700","1,154","0.9108%"
"Minnesota","Polk County","211100","2,109","0.9991%"
"Minnesota","Pope County","242800","1,915","0.7887%"
"Minnesota","Ramsey County","304900","3,767","1.2355%"
"Minnesota","Red Lake County","157200","1,508","0.9593%"
"Minnesota","Redwood County","150400","1,444","0.9601%"
"Minnesota","Renville County","151900","1,543","1.0158%"
"Minnesota","Rice County","298500","2,899","0.9712%"
"Minnesota","Rock County","201600","1,451","0.7197%"
"Minnesota","Roseau County","177100","1,644","0.9283%"
"Minnesota","St. Louis County","208500","2,142","1.0273%"
"Minnesota","Scott County","393500","4,195","1.0661%"
"Minnesota","Sherburne County","332700","3,311","0.9952%"
"Minnesota","Sibley County","215000","2,364","1.0995%"
"Minnesota","Stearns County","256500","2,617","1.0203%"
"Minnesota","Steele County","234200","2,824","1.2058%"
"Minnesota","Stevens County","180800","1,459","0.8070%"
"Minnesota","Swift County","147100","1,258","0.8552%"
"Minnesota","Todd County","188400","1,874","0.9947%"
"Minnesota","Traverse County","110100","1,070","0.9718%"
"Minnesota","Wabasha County","245800","2,675","1.0883%"
"Minnesota","Wadena County","170500","1,773","1.0399%"
"Minnesota","Waseca County","213200","2,537","1.1900%"
"Minnesota","Washington County","400900","4,012","1.0007%"
"Minnesota","Watonwan County","151600","1,557","1.0270%"
"Minnesota","Wilkin County","172300","1,310","0.7603%"
"Minnesota","Winona County","222900","2,099","0.9417%"
"Minnesota","Wright County","332800","3,319","0.9973%"
"Minnesota","Yellow Medicine County","148200","1,545","1.0425%"
"Mississippi","Adams County","106300","941","0.8852%"
"Mississippi","Alcorn County","132300","788","0.5956%"
"Mississippi","Amite County","89800","435","0.4844%"
"Mississippi","Attala County","107600","675","0.6273%"
"Mississippi","Benton County","109300","716","0.6551%"
"Mississippi","Bolivar County","123600","961","0.7775%"
"Mississippi","Calhoun County","82900","566","0.6828%"
"Mississippi","Carroll County","105500","702","0.6654%"
"Mississippi","Chickasaw County","100400","746","0.7430%"
"Mississippi","Choctaw County","104500","472","0.4517%"
"Mississippi","Claiborne County","80800","470","0.5817%"
"Mississippi","Clarke County","114300","570","0.4987%"
"Mississippi","Clay County","115600","797","0.6894%"
"Mississippi","Coahoma County","86400","1,071","1.2396%"
"Mississippi","Copiah County","105600","833","0.7888%"
"Mississippi","Covington County","98500","683","0.6934%"
"Mississippi","DeSoto County","248700","1,595","0.6413%"
"Mississippi","Forrest County","152900","1,284","0.8398%"
"Mississippi","Franklin County","95100","613","0.6446%"
"Mississippi","George County","168100","1,086","0.6460%"
"Mississippi","Greene County","94200","767","0.8142%"
"Mississippi","Grenada County","123400","1,247","1.0105%"
"Mississippi","Hancock County","206600","1,485","0.7188%"
"Mississippi","Harrison County","199300","1,289","0.6468%"
"Mississippi","Hinds County","151200","1,389","0.9187%"
"Mississippi","Holmes County","76500","695","0.9085%"
"Mississippi","Humphreys County","88800","980","1.1036%"
"Mississippi","Issaquena County","90700","314","0.3462%"
"Mississippi","Itawamba County","122400","779","0.6364%"
"Mississippi","Jackson County","181700","1,332","0.7331%"
"Mississippi","Jasper County","118600","710","0.5987%"
"Mississippi","Jefferson County","81400","816","1.0025%"
"Mississippi","Jefferson Davis County","87100","728","0.8358%"
"Mississippi","Jones County","126800","1,116","0.8801%"
"Mississippi","Kemper County","90200","539","0.5976%"
"Mississippi","Lafayette County","260500","1,672","0.6418%"
"Mississippi","Lamar County","218700","1,459","0.6671%"
"Mississippi","Lauderdale County","124500","1,223","0.9823%"
"Mississippi","Lawrence County","104600","732","0.6998%"
"Mississippi","Leake County","114600","775","0.6763%"
"Mississippi","Lee County","187800","1,356","0.7220%"
"Mississippi","Leflore County","98200","1,037","1.0560%"
"Mississippi","Lincoln County","131800","945","0.7170%"
"Mississippi","Lowndes County","157400","1,008","0.6404%"
"Mississippi","Madison County","286300","2,071","0.7234%"
"Mississippi","Marion County","117000","870","0.7436%"
"Mississippi","Marshall County","172200","1,286","0.7468%"
"Mississippi","Monroe County","115200","859","0.7457%"
"Mississippi","Montgomery County","110700","992","0.8961%"
"Mississippi","Neshoba County","96600","856","0.8861%"
"Mississippi","Newton County","102700","821","0.7994%"
"Mississippi","Noxubee County","85200","861","1.0106%"
"Mississippi","Oktibbeha County","219500","1,685","0.7677%"
"Mississippi","Panola County","121500","935","0.7695%"
"Mississippi","Pearl River County","174500","1,181","0.6768%"
"Mississippi","Perry County","126000","947","0.7516%"
"Mississippi","Pike County","110500","1,027","0.9294%"
"Mississippi","Pontotoc County","141700","935","0.6598%"
"Mississippi","Prentiss County","116500","790","0.6781%"
"Mississippi","Quitman County","68600","792","1.1545%"
"Mississippi","Rankin County","223400","1,384","0.6195%"
"Mississippi","Scott County","89900","718","0.7987%"
"Mississippi","Sharkey County","108000","1,008","0.9333%"
"Mississippi","Simpson County","111600","671","0.6013%"
"Mississippi","Smith County","114000","521","0.4570%"
"Mississippi","Stone County","163300","991","0.6069%"
"Mississippi","Sunflower County","103400","909","0.8791%"
"Mississippi","Tallahatchie County","82200","495","0.6022%"
"Mississippi","Tate County","173000","1,328","0.7676%"
"Mississippi","Tippah County","128400","963","0.7500%"
"Mississippi","Tishomingo County","132500","713","0.5381%"
"Mississippi","Tunica County","154500","679","0.4395%"
"Mississippi","Union County","159100","917","0.5764%"
"Mississippi","Walthall County","120600","946","0.7844%"
"Mississippi","Warren County","144400","1,234","0.8546%"
"Mississippi","Washington County","99300","837","0.8429%"
"Mississippi","Wayne County","88000","686","0.7795%"
"Mississippi","Webster County","109500","629","0.5744%"
"Mississippi","Wilkinson County","80200","691","0.8616%"
"Mississippi","Winston County","121200","785","0.6477%"
"Mississippi","Yalobusha County","97200","800","0.8230%"
"Mississippi","Yazoo County","129200","1,150","0.8901%"
"Missouri","Adair County","159500","1,210","0.7586%"
"Missouri","Andrew County","196200","1,495","0.7620%"
"Missouri","Atchison County","100600","1,178","1.1710%"
"Missouri","Audrain County","121600","1,064","0.8750%"
"Missouri","Barry County","172900","988","0.5714%"
"Missouri","Barton County","136000","1,010","0.7426%"
"Missouri","Bates County","154800","962","0.6214%"
"Missouri","Benton County","164700","918","0.5574%"
"Missouri","Bollinger County","142400","874","0.6138%"
"Missouri","Boone County","254100","2,232","0.8784%"
"Missouri","Buchanan County","156600","1,253","0.8001%"
"Missouri","Butler County","138800","934","0.6729%"
"Missouri","Caldwell County","156700","1,230","0.7849%"
"Missouri","Callaway County","196200","1,549","0.7895%"
"Missouri","Camden County","270700","1,354","0.5002%"
"Missouri","Cape Girardeau County","208300","1,404","0.6740%"
"Missouri","Carroll County","110500","933","0.8443%"
"Missouri","Carter County","147600","654","0.4431%"
"Missouri","Cass County","269000","2,364","0.8788%"
"Missouri","Cedar County","162500","953","0.5865%"
"Missouri","Chariton County","118900","900","0.7569%"
"Missouri","Christian County","249700","1,878","0.7521%"
"Missouri","Clark County","117600","1,139","0.9685%"
"Missouri","Clay County","256400","2,817","1.0987%"
"Missouri","Clinton County","204300","1,758","0.8605%"
"Missouri","Cole County","214400","1,728","0.8060%"
"Missouri","Cooper County","197100","1,332","0.6758%"
"Missouri","Crawford County","166000","1,011","0.6090%"
"Missouri","Dade County","157200","1,022","0.6501%"
"Missouri","Dallas County","151200","726","0.4802%"
"Missouri","Daviess County","149200","1,057","0.7084%"
"Missouri","DeKalb County","167500","1,269","0.7576%"
"Missouri","Dent County","149700","843","0.5631%"
"Missouri","Douglas County","164400","673","0.4094%"
"Missouri","Dunklin County","93800","651","0.6940%"
"Missouri","Franklin County","214900","1,774","0.8255%"
"Missouri","Gasconade County","168900","1,238","0.7330%"
"Missouri","Gentry County","123000","1,268","1.0309%"
"Missouri","Greene County","203500","1,469","0.7219%"
"Missouri","Grundy County","107000","1,094","1.0224%"
"Missouri","Harrison County","107400","885","0.8240%"
"Missouri","Henry County","153500","1,230","0.8013%"
"Missouri","Hickory County","123200","581","0.4716%"
"Missouri","Holt County","122300","945","0.7727%"
"Missouri","Howard County","145300","1,262","0.8685%"
"Missouri","Howell County","161000","892","0.5540%"
"Missouri","Iron County","113000","736","0.6513%"
"Missouri","Jackson County","213300","2,448","1.1477%"
"Missouri","Jasper County","158500","1,171","0.7388%"
"Missouri","Jefferson County","218800","1,835","0.8387%"
"Missouri","Johnson County","221400","1,515","0.6843%"
"Missouri","Knox County","97200","780","0.8025%"
"Missouri","Laclede County","158000","1,031","0.6525%"
"Missouri","Lafayette County","200300","1,534","0.7659%"
"Missouri","Lawrence County","159800","969","0.6064%"
"Missouri","Lewis County","118900","875","0.7359%"
"Missouri","Lincoln County","224800","1,731","0.7700%"
"Missouri","Linn County","117300","899","0.7664%"
"Missouri","Livingston County","138300","1,243","0.8988%"
"Missouri","McDonald County","134100","723","0.5391%"
"Missouri","Macon County","127000","1,049","0.8260%"
"Missouri","Madison County","155900","1,146","0.7351%"
"Missouri","Maries County","193100","1,088","0.5634%"
"Missouri","Marion County","158100","1,373","0.8684%"
"Missouri","Mercer County","95300","905","0.9496%"
"Missouri","Miller County","169800","1,065","0.6272%"
"Missouri","Mississippi County","100300","880","0.8774%"
"Missouri","Moniteau County","168300","1,205","0.7160%"
"Missouri","Monroe County","147400","1,086","0.7368%"
"Missouri","Montgomery County","171300","1,282","0.7484%"
"Missouri","Morgan County","180400","1,101","0.6103%"
"Missouri","New Madrid County","105500","746","0.7071%"
"Missouri","Newton County","175300","1,192","0.6800%"
"Missouri","Nodaway County","165100","1,340","0.8116%"
"Missouri","Oregon County","117700","599","0.5089%"
"Missouri","Osage County","205700","1,222","0.5941%"
"Missouri","Ozark County","156400","728","0.4655%"
"Missouri","Pemiscot County","95900","970","1.0115%"
"Missouri","Perry County","189400","1,368","0.7223%"
"Missouri","Pettis County","161500","1,259","0.7796%"
"Missouri","Phelps County","194900","1,248","0.6403%"
"Missouri","Pike County","129400","994","0.7682%"
"Missouri","Platte County","317600","3,365","1.0595%"
"Missouri","Polk County","189600","1,101","0.5807%"
"Missouri","Pulaski County","189700","1,159","0.6110%"
"Missouri","Putnam County","111600","1,101","0.9866%"
"Missouri","Ralls County","153400","1,161","0.7568%"
"Missouri","Randolph County","141900","1,204","0.8485%"
"Missouri","Ray County","187400","1,533","0.8180%"
"Missouri","Reynolds County","119900","553","0.4612%"
"Missouri","Ripley County","110800","555","0.5009%"
"Missouri","St. Charles County","296800","3,340","1.1253%"
"Missouri","St. Clair County","142500","911","0.6393%"
"Missouri","Ste. Genevieve County","215600","1,376","0.6382%"
"Missouri","St. Francois County","155100","1,161","0.7485%"
"Missouri","St. Louis County","260700","3,193","1.2248%"
"Missouri","Saline County","139600","1,138","0.8152%"
"Missouri","Schuyler County","118200","1,030","0.8714%"
"Missouri","Scotland County","141100","1,192","0.8448%"
"Missouri","Scott County","143700","936","0.6514%"
"Missouri","Shannon County","151000","652","0.4318%"
"Missouri","Shelby County","86200","772","0.8956%"
"Missouri","Stoddard County","135400","885","0.6536%"
"Missouri","Stone County","236500","1,167","0.4934%"
"Missouri","Sullivan County","103300","760","0.7357%"
"Missouri","Taney County","203800","1,178","0.5780%"
"Missouri","Texas County","123300","652","0.5288%"
"Missouri","Vernon County","136700","970","0.7096%"
"Missouri","Warren County","241200","1,780","0.7380%"
"Missouri","Washington County","118400","682","0.5760%"
"Missouri","Wayne County","113100","565","0.4996%"
"Missouri","Webster County","219100","1,181","0.5390%"
"Missouri","Worth County","94600","758","0.8013%"
"Missouri","Wright County","152300","584","0.3835%"
"Missouri","St. Louis city","185100","1,935","1.0454%"
"Montana","Beaverhead County","282000","1,876","0.6652%"
"Montana","Big Horn County","148200","1,482","1.0000%"
"Montana","Blaine County","124900","1,901","1.5220%"
"Montana","Broadwater County","364800","2,210","0.6058%"
"Montana","Carbon County","379300","2,080","0.5484%"
"Montana","Carter County","176600","782","0.4428%"
"Montana","Cascade County","243300","2,236","0.9190%"
"Montana","Chouteau County","185100","1,446","0.7812%"
"Montana","Custer County","204200","2,242","1.0979%"
"Montana","Daniels County","177800","1,533","0.8622%"
"Montana","Dawson County","187400","2,199","1.1734%"
